Name/ID,Vertical,Industry,Total BRR Currency, Total BRR ,Service Name,Number of Services,Bandwidth,,State A,State Z,Service Status,Term, Total MRR ,Vertical,Industry,EmployeeQuantityGrowthRate,SalesTurnoverGrowthRate,PriorYearEmployees, PriorYearRevenue , SalesVolume ,SmallBusiness
12868,Consulting / Other Professional Services,Professional Services,USD, $ 52.00 ,256195,2,,Colocation,TX,TX,Active,1, $ 52.25 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12870,Internet Content & Software,Media & Content,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Internet Content & Software,Media & Content,0,0,0, $ -   , $ -   ,0
12892,Consulting / Other Professional Services,Professional Services,USD, $ 399.00 ,255705,2,100Mb,DIA,TX,TX,Active,1, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12918,Finance,Finance,USD, $ 230.00 ,258777,2,N/A,Colocation,TX,,Active,24, $ 128.05 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13090,Real Estate / Construction,Other Enterprise,USD, $ 530.00 ,237002,1,50Mb,DIA,MD,,Active,48, $ 530.09 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13149,Manufacturing,Energy & Manufacturing,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Manufacturing,Energy & Manufacturing,0,0.030303,4," $ 433,672.56 "," $ 446,814.15 ",Y
13201,Engineering,Professional Services,USD," $ 1,423.00 ",257176,3,,Colocation,TX,TX,Active,37," $ 1,255.00 ",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13210,Consulting / Other Professional Services,Professional Services,USD, $ 714.00 ,251815,1,100Mb,DIA,VA,,Active,24, $ 838.65 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13222,Finance,Finance,USD, $ 714.00 ,249036,1,10Mb,DIA,DC,,Active,48, $ 738.65 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13226,Consulting / Other Professional Services,Professional Services,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Consulting / Other Professional Services,Professional Services,0,0,17," $ 1,708,407.04 "," $ 1,708,407.04 ",Y
13344,Consulting / Other Professional Services,Professional Services,USD, $ 402.00 ,230675,1,100Mb,DIA,VA,,Active,12, $ 401.69 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13399,Real Estate / Construction,Other Enterprise,USD," $ 1,100.00 ",285842,2,FE (Cat5),Interconnect,IL,IL,Active,36, $ 100.00 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13423,Finance,Finance,USD, $ 406.00 ,267266,2,100Mb,DIA,TX,,Active,12, $ 101.63 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13456,Consulting / Other Professional Services,Professional Services,USD," $ 1,244.00 ",267324,2,N/A,Colocation,GA,,Active,12," $ 1,210.00 ",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13512,Internet Content & Software,Media & Content,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Internet Content & Software,Media & Content,0,-0.083333,1," $ 157,699.11 "," $ 144,557.52 ",Y
13517,Colo/Hosting,Data Center & Cloud Services,USD, $ 100.00 ,258972,4,N/A,Colocation,TX,,Active,1, $ 138.64 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13527,Higher Education,Research & Education,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Higher Education,Research & Education,#N/A,#N/A,#N/A, #N/A , #N/A ,#N/A
13587,Utilities,Energy & Manufacturing,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Utilities,Energy & Manufacturing,0,0,3," $ 210,265.48 "," $ 210,265.48 ",N
13595,Regional Carrier/ISP,Telecommunications,USD, $ 529.00 ,022273,6,,Colocation,IN,,Disconnected,480, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13605,Consulting / Other Professional Services,Professional Services,USD, $ 879.00 ,263693,2,,Colocation,TX,,Active,30, $ 878.50 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13636,Regional Carrier/ISP,Telecommunications,USD, $ 554.00 ,222070,1,20Mb,DIA,TX,,Active,36, $ 553.85 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13665,Finance,Finance,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Finance,Finance,0,0,55," $ 3,942,477.78 "," $ 3,942,477.78 ",Y
13746,Manufacturing,Energy & Manufacturing,USD," $ 1,266.00 ",286530,3,FE (Cat5),Interconnect,IL,IL,Active,24, $ 100.00 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13808,Internet Content & Software,Media & Content,USD, $ 50.00 ,300355,3,N/A,Cloud IaaS,CO,,Disconnected,24, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13884,Internet Content & Software,Media & Content,USD, $ 395.00 ,242119,2,,Colocation,TX,,Active,12, $ 415.83 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13895,Real Estate / Construction,Other Enterprise,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Real Estate / Construction,Other Enterprise,0,0,0, $ -   , $ -   ,N
13961,Regional Carrier/ISP,Telecommunications,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Regional Carrier/ISP,Telecommunications,0,0.016667,6," $ 788,495.56 "," $ 801,637.15 ",Y
13971,RLEC,Telecommunications,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RLEC,Telecommunications,0,0,7," $ 274,389.88 "," $ 274,389.88 ",N
13972,Hospitality,Other Enterprise,USD," $ 1,200.00 ",282995,2,N/A,Colocation,VA,,Pending Disconnect,36, $ 900.00 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14113,Internet Content & Software,Media & Content,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Internet Content & Software,Media & Content,0,0,0, $ -   ," $ 4,634,807.10 ",N
14172,Regional Carrier/ISP,Telecommunications,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Regional Carrier/ISP,Telecommunications,0,0,2," $ 249,690.26 "," $ 249,690.26 ",Y
14180,Internet Content & Software,Media & Content,USD, $ 98.00 ,255717,4,10Mb,DIA,TX,TX,Active,1, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14181,Non-Healthcare Insurance,Other Enterprise,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Non-Healthcare Insurance,Other Enterprise,0,0.630487,3," $ 407,389.37 "," $ 664,243.11 ",N
14194,Higher Education,Research & Education,USD, $ 157.00 ,258774,2,N/A,Colocation,TX,,Active,1, $ 153.88 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14228,Colo/Hosting,Data Center & Cloud Services,USD," $ 1,160.00 ",254703,2,N/A,Colocation,TX,TX,Active,12, $ 872.00 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14235,Media,Media & Content,USD, $ 49.00 ,255424,2,10Mb,DIA,TX,TX,Active,1, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14259,Federal Government,Government,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Federal Government,Government,0,0.164976,469," $ 106,858,733.92 "," $ 124,487,807.17 ",N
14288,Oil & Gas,Energy & Manufacturing,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Oil & Gas,Energy & Manufacturing,0,1.676839,700," $ 112,360,616.73 "," $ 300,771,288.15 ",N
14359,Consulting / Other Professional Services,Professional Services,USD, $ 956.00 ,226615,1,50Mb,DIA,CA,,Active,1, $ 955.78 ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14410,Colo/Hosting,Data Center & Cloud Services,USD, $ -   ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Colo/Hosting,Data Center & Cloud Services,0,-0.101873,20," $ 3,416,814.08 "," $ 3,068,731.40 ",N
